Memory (MB),full,,,
MATH-500,128,256,512,1024
Llama-8b,15824.93,15790.94,15666.97,15850.09
Qwen-14B,28654.90,28691.54,28674.56,28744.14

AIME-24,128,256,512,1024
Llama-8b,16455.82,16695.59,16735.31,16402.84
Qwen-14B,29731.67,29848.74,30380.31,29993.33

Throughput(tok/s),,,,
,full,,,
MATH-500,128,256,512,1024
Llama-8b,27986.11,29523.43,29386.18,28042.94
Qwen-14B,29350.14,29027.70,29793.15,29731.17

,full,,,
AIME-24,128,256,512,1024
Llama-8b,24738.14,25498.22,25393.96,26721.18
Qwen-14B,25578.02,26508.16,24967.87,25690.71

Decoding time (s) per token,,,,
,full,,,
MATH-500,128,256,512,1024
Llama-8b,4.56,4.04,2.80,4.85
Qwen-14B,3.92,4.29,4.08,4.72

,full,,,
AIME-24,128,256,512,1024
Llama-8b,12.32,13.66,14.05,10.43
Qwen-14B,15.32,16.22,22.42,18.45

Total decoding tokens,,,,
,full,,,
MATH-500,128,256,512,1024
Llama-8b,1217920,1138080,805440,1288448
Qwen-14B,1145520,1216032,1197936,1373568

,full,,,
AIME-24,128,256,512,1024
Llama-8b,2775808,3379232,3455296,2640768
Qwen-14B,3811200,4118304,5464512,4504224

