Dataset,Model,Method,Budget,Max_Tokens,Memory_MB,Throughput,Decoding_Time,Total_Tokens
math500,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,128,2048,15357.07,21840.2,4.94,583104
math500,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,128,16384,15357.09,23285.02,12.72,1534432
math500,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,256,2048,15372.8,22666.0,4.88,606496
math500,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,256,16384,15372.98,21638.93,30.33,3464672
math500,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,512,2048,15424.84,25047.87,4.43,602432
math500,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,512,16384,15426.01,21651.34,43.26,5039872
math500,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,1024,2048,15470.88,28359.03,3.44,575424
math500,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,1024,16384,15471.02,26373.86,27.7,3369568
math500,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,128,2048,28226.01,22413.14,7.45,925056
math500,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,128,16384,28226.16,21899.9,35.61,4212912
math500,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,256,2048,28249.66,22183.51,8.07,982560
math500,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,256,16384,28249.75,22280.14,24.33,2950752
math500,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,512,2048,28326.65,22056.58,8.16,982560
math500,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,512,16384,28326.9,21634.76,57.59,6315888
math500,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,1024,2048,28396.62,25887.44,5.29,887088
math500,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,1024,16384,28403.37,23762.98,34.79,4115280
aime24,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,128,2048,15356.86,22676.44,4.66,594240
aime24,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,128,32768,15356.83,21337.75,9.83,1132352
aime24,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,256,2048,15371.72,22895.01,4.31,541280
aime24,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,256,32768,15372.18,22993.39,57.15,6961120
aime24,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,512,2048,15428.98,23176.5,4.95,652448
aime24,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,512,32768,15429.17,21895.8,54.67,6133472
aime24,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,1024,2048,15473.15,24237.02,3.79,617120
aime24,deepseek-ai--DeepSeek-R1-Distill-Llama-8B,rkvlsh,1024,32768,15475.96,21870.24,67.82,7875328
aime24,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,128,2048,28225.44,22257.54,7.44,911664
aime24,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,128,32768,28225.53,22556.82,35.63,4446432
aime24,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,256,2048,28249.09,21957.1,8.22,982560
aime24,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,256,32768,28249.34,21194.88,55.08,6135840
aime24,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,512,2048,28326.65,23303.64,7.15,950208
aime24,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,512,32768,28327.06,21856.81,81.02,9529920
aime24,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,1024,2048,28403.29,25837.88,6.21,982560
aime24,deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,rkvlsh,1024,32768,28404.18,22308.72,118.63,14533152
